172," 111 S Main St Walnut Cove, NC",$2.60 ,Neighbors #24,-80.14116749,36.29220432
173," 525 Mountain View Rd King, NC",$2.56 ,Bp,-80.32925083,36.30074302
174," 3258 Nc 8 And 65 Hwy Germanton, NC",$2.50 ,Bp,-80.22262379,36.26540215
175," 685 Commerce St Stuart, VA",$2.32 ,Exxon,-80.25833393,36.63469407
176," 21542 Jeb Stuart Hwy Patrick Springs, VA",$2.03 ,Friendlys Convenience,-80.19533962,36.64191063
177," 703 East King St King, NC",$2.22 ,Sheetz #483,-80.34076397,36.27804425
178," 16112 Jeb Stuart Hwy Stuart, VA",$2.04 ,W And W Produce,-80.28268269,36.65505517
179," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.4984467,36.41123679
180," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.49852246,36.41005027
181," 818 S Key St Pilot Mountain, NC",$2.10 ,Speedway #6948,-80.48906998,36.37505396
182," 805 S Key St Pilot Mountain, NC",$2.10 ,Circle K,-80.4878415,36.37561691
183," 2301 Us Highway 220 Stokesdale, NC",$2.12 ,Eagles #9,-79.9418076,36.31072582
184," 722 Highway St Madison, NC",$2.13 ,Exprezit #817,-79.96974079,36.39665479
185," 7895 Broad St Rural Hall, NC",$2.13 ,Four Brothers #206,-80.29102715,36.23722726
186," 6205 University Pkwy Winston Salem, NC",$2.13 ,Speedway #6935,-80.27866666,36.19670515
187," 6116 University Pkwy Winston Salem, NC",$2.13 ,Le Seul Valero,-80.27872261,36.19320039
188," 211 N Main St Dobson, NC",$2.26 ,Dobson Citgo,-80.72312197,36.39667111
189," 912 E Atkins St Dobson, NC",$2.26 ,Speedway #6951,-80.70746419,36.39211387
190," 2359 Zephyr Rd Dobson, NC",$2.28 ,Bp,-80.78474257,36.3950044
191," 8269 Us 601 Dobson, NC",$2.26 ,Circle K,-80.71960672,36.32787548
192," 2152 Red Brush Rd Mount Airy, NC",$2.14 ,Circle K,-80.69474355,36.47557541
193," 961 #1 Old Hwy  601 Mount Airy, NC",$2.52 ,Bp,-80.74545593,36.48573304
194," 110 Graceland Ln Mount Airy, NC",$2.17 ,Circle K,-80.82354086,36.28014804
195," 631 Cc Camp Rd Elkin, NC",$2.14 ,7-eleven #36077,-80.74603753,36.48671442
196," 125 Plaza Ln Mount Airy, NC",$2.17 ,Flying J #549,-80.74327055,36.48717713
197," 4560 W Pine St Mount Airy, NC",$2.17 ,Whites Grocery,-80.66351075,36.58534421
198," 14314 Fancy Gap Hwy Cana, VA",$2.00 ,Nexstop,-80.6601645,36.12049323
199," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.4984467,36.41123679
200," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.49852246,36.41005027
201," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.48906998,36.37505396
202," 818 S Key St Pilot Mountain, NC",$2.10 ,Speedway #6948,-80.91983842,36.36275408
203," 1681 Us Highway 21 Thurmond, NC",$2.10 ,Foot Hills Grocery,-80.4878415,36.37561691
204," 805 S Key St Pilot Mountain, NC",$2.10 ,Circle K,-80.66010622,36.12034871
205," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.85332689,36.27004028
206," 401 Cc Camp Rd Elkin, NC",$2.12 ,Sheetz #535,-80.50725171,36.21517896
207," 104 Nc 67 Hwy East Bend, NC",$2.13 ,Speedway #6947,-80.40137289,36.13785386
208," 6188 Yadkinville Rd Pfafftown, NC",$2.16 ,Two Brothers #4,-80.42944593,36.09184208
209," 480 Williams Rd Lewisville, NC",$2.40 ,Circle K,-80.66010622,36.12034871
210," 805 S State St Yadkinville, NC",$2.10 ,Sheetz #510,-80.66008083,36.12261288
211," 708 S State St Yadkinville, NC",$2.33 ,Fast Phils #505,-80.6601645,36.12049323
212," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.436924,36.3187307
213," 1448 Perch Rd Pinnacle, NC",$2.16 ,Four Brothers #104,-80.35730406,36.1534079
214," 4575 Yadkinville Rd Pfafftown, NC",$2.15 ,Four Brothers #214,-80.36304781,36.26264988
215," 713 S Main St King, NC",$2.24 ,7-eleven #36064,-80.70009452,36.23208726
216," 413 E Main St Boonville, NC",$2.80 ,Neighbors #17,-80.36072723,36.26792742
217," 583 S Main St King, NC",$2.22 ,Kangaroo Express,-80.37500243,35.96119926
218," 1465 River Ridge Rd Clemmons, NC",$2.04 ,Quality Mart #42,-80.38941918,36.07574956
219," 1415 Lewisville Clemmons Rd Clemmons, NC",$2.05 ,Circle K,-80.6601645,36.12049323
220," 800 S State St Yadkinville, NC",$2.07 ,Four Brothers #302,-80.26300753,36.02850591
221," 3470 Parway Village Cr Winston Salem, NC",$2.08 ,Murphy Usa #7420,-80.27210354,36.03763078
222," 2265 Old Salisbury Rd Winston Salem, NC",$2.08 ,Salisbury Rd Quality Plus,-80.4984467,36.41123679
223," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.49852246,36.41005027
224," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.22518732,36.05292375
225," 3407 Old Lexington Rd Winston Salem, NC",$2.09 ,By Lo #05,-80.3827395,36.03087068
226," 2471 Lewisville Clemmons Rd Clemmons, NC",$2.09 ,Circle K #3160,-80.26077691,36.02005144
227," 3715 Peters Creek Pkwy Winston Salem, NC",$2.09 ,Speedway #6930,-80.29102715,36.23722726
228," 7895 Broad St Rural Hall, NC",$2.13 ,Four Brothers #206,-80.14116749,36.29220432
229," 111 S Main St Walnut Cove, NC",$2.60 ,Neighbors #24,-80.32925083,36.30074302
230," 525 Mountain View Rd King, NC",$2.56 ,Bp,-80.1392815,36.31281397
231," 5140 Nc 89 Hwy E Walnut Cove, NC",$2.16 ,Speedway #6946,-80.34076397,36.27804425
232," 703 East King St King, NC",$2.22 ,Sheetz #483,-80.30240276,36.21201444
233," 1065 Bethania Rural Hall Rd Rural Hall, NC",$2.17 ,Circle K,-80.25529305,36.19479368
234," 566 Old Hollow Rd Winston Salem, NC",$2.13 ,Speedway #6934,-80.27866666,36.19670515
235," 6205 University Pkwy Winston Salem, NC",$2.13 ,Speedway #6935,-80.27872261,36.19320039
236," 6116 University Pkwy Winston Salem, NC",$2.13 ,Le Seul Valero,-80.36072723,36.26792742
237," 583 S Main St King, NC",$2.22 ,Kangaroo Express,-80.37500243,35.96119926
238," 1465 River Ridge Rd Clemmons, NC",$2.04 ,Quality Mart #42,-80.38941918,36.07574956
239," 1415 Lewisville Clemmons Rd Clemmons, NC",$2.05 ,Circle K,-80.26300753,36.02850591
240," 3470 Parway Village Cr Winston Salem, NC",$2.08 ,Murphy Usa #7420,-80.27210354,36.03763078
241," 2265 Old Salisbury Rd Winston Salem, NC",$2.08 ,Salisbury Rd Quality Plus,-80.4984467,36.41123679
242," 3175 Cook School Rd Pilot Mountain, NC",$2.09 ,Gas And Go,-80.49852246,36.41005027
243," 3230 Cook School Rd Pilot Mountain, NC",$2.09 ,Blue Mountain Petro,-80.22518732,36.05292375
244," 3407 Old Lexington Rd Winston Salem, NC",$2.09 ,By Lo #05,-80.3827395,36.03087068
